make,days_on_market,price,mileage,msrp,model_year,distance_to_dealer,exterior_color_encoded,brand_cluster,PCA1,PCA2
Acura,55.96979865771812,63333.12080536913,16.93469798657688,61474.463087248325,2023.979865771812,7.326208053691276,1,1,-0.5984636252842139,-0.3027792464252229
Alfa Romeo,134.6086956521739,68753.23188405797,190.72144927536198,60515.25362318841,2023.7608695652175,6.476739130434782,1,0,1.4395139160889536,0.21554868167091548
Audi,54.94947735191638,77822.38850174216,354.1245644599303,67412.4869337979,2023.9425087108013,8.762412891986063,1,1,0.08980622034889929,-0.07037282406069907
BMW,49.015060240963855,90825.9751506024,336.47230421686754,74158.67469879518,2023.9781626506024,6.659548192771084,1,1,0.5571062806047141,-0.7651739200160533
Buick,41.42123687281214,42677.551925320884,131.4864877479577,37152.13068844807,2023.8541423570596,9.681563593932323,1,1,-1.4050610166079998,0.3902067535974076
Cadillac,50.68177028451001,78480.7602739726,218.68092729188615,71670.39936775553,2023.9631190727082,8.925426765015805,1,1,-0.17058794183538448,0.10218121500359448
Chevrolet,41.49719229018061,77330.21809075732,102.60013355592648,62145.23903475489,2023.9643344968888,10.11354682045834,1,1,-0.9067986799079785,0.5260443352405277
Chrysler,42.01151315789474,64534.58717105263,48.31054276315782,57591.17598684211,2023.876644736842,8.901546052631579,1,1,-0.7649082406704438,0.38880617544074203
Dodge,69.20089285714286,65737.20727040817,60.704081632653065,57174.888392857145,2023.7748724489795,9.267889030612244,1,1,-0.1901006710153687,0.9148353486395634
Fiat,15.96774193548387,43455.632258064514,25.247870967741935,39985.32258064516,2023.9935483870968,7.754645161290322,1,1,-1.86914994779588,-0.6002268669955549
Ford,51.43900465304471,69007.0599838155,47.01717074650972,64712.066659923126,2023.84816912806,9.87349484118956,1,1,-0.5394457776658526,0.889450239125034
GMC,41.26468934495361,90701.41854090526,104.2660612876019,75165.88740511668,2023.9706213100928,10.754011807703119,1,1,-0.6018385856683985,0.840749909685895
Genesis,68.72413793103448,71530.68965517242,12.463448275862069,74620.68965517242,2023.5862068965516,9.851379310344827,1,0,0.6161638390827309,1.8461649391139574
Honda,40.942581534221404,49361.93017914562,107.93581993569065,43648.670188332566,2023.9802480477722,7.84182820395039,1,1,-1.2686751649935266,-0.4816748554338768
Hyundai,37.92512392381946,45229.352987216276,150.3706130967906,41230.84189929559,2023.9679102530654,9.373148969475606,1,1,-1.5712698552584898,-0.0503127054915761
Infiniti,62.84771573604061,67872.91116751269,216.48040609137055,63374.1269035533,2023.9035532994924,8.229263959390863,1,1,-0.03652755627818765,0.019799175655372057
Jaguar,174.9142857142857,83560.74285714286,998.8571428571429,72147.14285714286,2023.8857142857144,6.66,1,0,3.2705386467637463,-0.8132438428946651
Jeep,76.2703354087166,67229.79594296044,100.70556336613782,60967.414139385415,2023.8479614380399,8.587648122112874,1,1,-0.03135627551990911,0.48914878635377346
Kia,44.46805455850682,43085.20674802584,126.12778176597273,41145.5455850682,2023.9167264895907,7.7139913854989235,1,1,-1.1165066883597645,-0.3821483132732696
Land Rover,83.04571428571428,129138.93142857144,22.874514285714085,102045.42857142857,2023.9714285714285,6.66,1,2,1.508523491037847,0.121321724888225
Lexus,43.732909379968206,76673.65818759936,360.3905246422894,67038.23529411765,2023.9761526232114,8.972050874403816,1,1,-0.18808335546718302,-0.16688872597446008
Lincoln,43.57063711911357,80226.1135734072,327.35457063711914,70750.63711911357,2023.8282548476454,9.574487534626039,1,1,0.1983755736182253,0.5413108521861306
Maserati,128.38666666666666,273174.06666666665,422.93226666666664,125077.33333333333,2023.56,6.79,1,2,6.0012959410861955,1.7753936820065548
Mazda,50.58794674141556,45195.19971969166,106.40714786264891,41732.34057463209,2023.9866853538892,11.069740714786265,1,1,-1.8398597310519575,0.55526850574814
Mercedes-Benz,49.68445475638051,96711.28654292344,713.2088476411445,79531.56225831399,2023.7757153905645,6.729342614075792,0,3,2.2559692321547167,-3.392132528772206
Mini,56.166666666666664,52854.36781609195,166.79781609195408,39816.4367816092,2023.9827586206898,6.231724137931034,0,3,-0.44370147932868426,-3.8510283083122356
Mitsubishi,56.68277945619335,42259.108761329306,15.558912386706949,39443.85095669688,2023.985901309164,7.231742195367573,1,1,-1.315149918458702,-0.5604664215064843
Nissan,53.47896623278627,43473.27126957178,51.943029617053384,39041.88002263724,2023.9152990001887,12.451890209394454,1,1,-2.01314692674347,1.2701877667109416
Porsche,46.25,164891.25,998.4937499999997,134137.5,2023.875,6.18625,1,2,4.149093317216275,-0.8162566278061731
Ram,118.25050007693491,73835.61232497307,53.55257731958761,67094.47376519465,2023.5828589013695,8.872160332358824,1,0,1.3123013208600711,1.6730821768665622
Subaru,37.227206946454416,42116.83068017366,48.196468885673276,38170.108538350214,2023.9688856729379,6.797872648335745,1,1,-1.3940853039796088,-0.7859763738259741
Toyota,21.308227114716107,58594.911645422944,17.480301274623407,49653.835457705674,2023.9692931633836,9.050874855156431,1,1,-1.5959616970293706,0.03944079795074024
Volkswagen,46.103685053788055,49919.12886243992,163.85351338979143,46738.46074616617,2023.9365987640192,7.177869077592127,1,1,-0.7972668120888021,-0.593783429359013
Volvo,32.640316205533594,109654.81027667984,129.4107509881421,71565.41501976285,2023.99209486166,11.604229249011857,1,1,-0.7407425278531977,1.0335239242633876
